Tender Subject,Tender Number,Tender Link,TENDER TYPE,CATEGORY/SECTOR,PURCHASING AUTHORITY,PURCHASE BEFORE,CLOSING DATE
TRA INTERNAL INFORMATION TECHNOLOGY SERVICES,TRA/RFP/2024/005,https://www.tenderboard.gov.bh/TenderDetails/?id=547/2024/BTB (TRA/RFP/2024/005),EXTERNAL,GENERAL,TELECOMMUNICATION REGULATORY AUTHORITY,"16, JUL,2024","24 JUL,2024"
SUPPLY OF FUSE LINK,IN/CSD/ZA/2024/093,https://www.tenderboard.gov.bh/TenderDetails/?id=43/2024/CSD ( IN/CSD/ZA/2024/093),INTERNAL,GENERAL,CENTRAL STORES DIRECTORATE - EWA,"18, JUL,2024","22 JUL,2024"
FOUR (4) YEARS PREVENTIVE BUILDING MAINTENANCE WORKS AT SANITARY AND ROAD DIRECTORATE COMPOUNDS-SALMABAD,BMD – 24/0015,https://www.tenderboard.gov.bh/TenderDetails/?id=546/2024/BTB (BMD – 24/0015 ),EXTERNAL,GENERAL,MINISTRY OF WORKS,"27, JUL,2024","04 AUG,2024"
"PROPOSED STORM DRAINAGE DIVERSION AT AL UM NASSAN AVE., RIFFA BLOCK 934",SES-24/0013,https://www.tenderboard.gov.bh/TenderDetails/?id=545/2024/BTB (SES-24/0013),EXTERNAL,GENERAL,MINISTRY OF WORKS,"27, JUL,2024","04 AUG,2024"
VARIOUS ECONOMY HAND SOAP PRE- FILLED BOTTLES (300ML),24-06-2527-ITC,https://www.tenderboard.gov.bh/TenderDetails/?id=4/2024/GFG (24-06-2527-ITC),INTERNAL,GENERAL,GULF AIR GROUP,"30, JUL,2024","05 AUG,2024"
PROVISION OF FORTIGATE FIREWALL MAINTENANCE AND SUPPORT,TP-1167-2024,https://www.tenderboard.gov.bh/TenderDetails/?id=544/2024/BTB (TP-1167-2024),EXTERNAL,GENERAL,BAPCO UPSTREAM W.L.L,"10, JUL,2024","21 JUL,2024"
TERM CONTRACT FOR MAINTENANCE OF WATERPUMP FOR VARIOUS GSA FACILITIES,RFP/GSA/006/2024,https://www.tenderboard.gov.bh/TenderDetails/?id=543/2024/BTB (RFP/GSA/006/2024),EXTERNAL,GENERAL,GENERAL SPORTS AUTHORITY,"10, JUL,2024","24 JUL,2024"
"SUPPLY OF MODULE, CONTROL",IN/CSD/SH/2023/091,https://www.tenderboard.gov.bh/TenderDetails/?id=42/2024/CSD (IN/CSD/SH/2023/091),INTERNAL,GENERAL,CENTRAL STORES DIRECTORATE - EWA,"25, JUL,2024","29 JUL,2024"
AL HUNAINIA GARDEN DEVELOPMENT,MUN/SAM/6/2024,https://www.tenderboard.gov.bh/TenderDetails/?id=541/2024/BTB (MUN/SAM/6/2024),EXTERNAL,GENERAL,SOUTHERN AREA MUNICIPALITY,"08, JUL,2024","21 JUL,2024"
OUTSOURCING OF CUSTOMER SERVICES AND CUSTOMER ACCOUNTS FRONT OFFICE,2024-086-RP-CSD,https://www.tenderboard.gov.bh/TenderDetails/?id=542/2024/BTB (2024-086-RP-CSD),EXTERNAL,GENERAL,ELECTRICITY AND WATER AUTHORITY,"20, JUL,2024","28 JUL,2024"
FOUR (4) YEARS PREVENTIVE MAINTENANCE WORKS AT MATERIAL ENGINEERING DIRECTORATE OF MOW – JUFFAIR,BMD-24/0016,https://www.tenderboard.gov.bh/TenderDetails/?id=540/2024/BTB (BMD-24/0016     ),EXTERNAL,GENERAL,MINISTRY OF WORKS,"06, AUG,2024","14 AUG,2024"
"LONG TERM AGREEMENT FOR THE PURCHASE OF STUD, BOLTS & NUTS",Q75010(66),https://www.tenderboard.gov.bh/TenderDetails/?id=537/2024/BTB (Q75010(66)),EXTERNAL,GENERAL,BAPCO REFINING,"23, JUL,2024","31 JUL,2024"
SITE SUPERVISION CONSULTANCY SERVICES OF CONSTRUCTION WORKS FOR BUQUWAH SEWER SCHEME,SES-23/0002,https://www.tenderboard.gov.bh/TenderDetails/?id=539/2024/BTB (SES-23/0002),EXTERNAL,GENERAL,MINISTRY OF WORKS,"03, AUG,2024","11 AUG,2024"
SUPPLY OF STEEL DOORS,PT/CSD/MM/2024/087,https://www.tenderboard.gov.bh/TenderDetails/?id=535/2024/BTB (PT/CSD/MM/2024/087),EXTERNAL,GENERAL,CENTRAL STORES DIRECTORATE - EWA,"13, JUL,2024","21 JUL,2024"
REHABILITATION OF AL-QALA HOUSES PROJECT BLOCK 2,5/2024,https://www.tenderboard.gov.bh/TenderDetails/?id=534/2024/BTB (5/2024),EXTERNAL,GENERAL,BAHRAIN AUTHORITY FOR CULTURE & ANTIQUITIES,"30, JUL,2024","07 AUG,2024"
ROUTES WORLD 2024 CITY AND AIRPORT BRANDING,RFP/INT/BAC/2024/12,https://www.tenderboard.gov.bh/TenderDetails/?id=10/2024/BAC (RFP/INT/BAC/2024/12),INTERNAL,GENERAL,BAHRAIN AIRPORT COMPANY,"16, JUL,2024","22 JUL,2024"
SUPPLY OF VARIOUS TYPES OF TOMATO JUICE AND ORANGE JUICE CUPLETS FOR ECONOMY AND BUSINESS CLASS,24-05-2520-BTB,https://www.tenderboard.gov.bh/TenderDetails/?id=533/2024/BTB (24-05-2520-BTB),EXTERNAL,GENERAL,GULF AIR,"21, JUL,2024","31 JUL,2024"
MOTOR VEHICLES LEASE FOR GFG AND ITS SUBSIDIARIES,RFP/GFG/2024/01,https://www.tenderboard.gov.bh/TenderDetails/?id=532/2024/BTB (RFP/GFG/2024/01 ),EXTERNAL,GENERAL,GULF AIR GROUP,"01, AUG,2024","07 AUG,2024"
SUPPLY OF SADDLE FERRULE,IN/CSD/SH/2024/088,https://www.tenderboard.gov.bh/TenderDetails/?id=41/2024/CSD (IN/CSD/SH/2024/088),INTERNAL,GENERAL,CENTRAL STORES DIRECTORATE - EWA,"18, JUL,2024","22 JUL,2024"
PRE-QUALIFICATION FOR THE SUPPLY OF SWITCHGEAR,PQ-2024-0013,https://www.tenderboard.gov.bh/TenderDetails/?id=529/2024/BTB (PQ-2024-0013),EXTERNAL,GENERAL,BAPCO REFINING,"20, JUL,2024","28 JUL,2024"
"PRE-QUALIFICATION FOR THE SUPPLY OF FIRE & SAFETY EQUIPMENT, PERSONAL SAFETY CLOTHING AND EQUIPMENT",PQ-2024-0005,https://www.tenderboard.gov.bh/TenderDetails/?id=531/2024/BTB (PQ-2024-0005),EXTERNAL,GENERAL,BAPCO REFINING,"20, JUL,2024","28 JUL,2024"
"PRE-QUALIFICATION FOR THE SUPPLY OF CIRCUIT BREAKERS, ELECTRICAL CONDUITS, CABLE GLANDES, CABLE JOINTS, SWITCH BOARDS, PANEL BOARD",PQ-2024-0010,https://www.tenderboard.gov.bh/TenderDetails/?id=530/2024/BTB (PQ-2024-0010),EXTERNAL,GENERAL,BAPCO REFINING,"20, JUL,2024","28 JUL,2024"
PROVISION OF MAINTENANCE FOR WATER METER FULLY AUTOMATED TEST BENCH,2024-089-PP-WDD,https://www.tenderboard.gov.bh/TenderDetails/?id=528/2024/BTB (2024-089-PP-WDD),EXTERNAL,GENERAL,ELECTRICITY AND WATER AUTHORITY,"28, JUL,2024","07 AUG,2024"
"SUPPLY OF CUTOUT DOMESTIC SERVICE, RATING 100A & 60A",PT/CSD/MH/2024/086,https://www.tenderboard.gov.bh/TenderDetails/?id=523/2024/BTB (PT/CSD/MH/2024/086),EXTERNAL,GENERAL,CENTRAL STORES DIRECTORATE - EWA,"16, JUL,2024","24 JUL,2024"
